round,time,winner,year,month,day_of_week,height_diff,weight_diff,reach_diff,leg_reach_diff,sig_strikes_landed_per_minute_diff,sig_strikes_absorbed_per_minute_diff,takedowns_avg_diff,submission_avg_diff,knockdown_avg_diff,fight_time_avg_diff,avg_knockdowns_diff,avg_sig_attempts_diff,avg_sig_strikes_diff,avg_total_strikes_attempts_diff,avg_total_strikes_diff,avg_sub_attempts_diff,avg_takedowns_diff,avg_takedown_attempts_diff,avg_head_strikes_diff,avg_head_attempts_diff,avg_body_strikes_diff,avg_body_attempts_diff,avg_leg_strikes_diff,avg_leg_attempts_diff,avg_distance_diff,avg_distance_attempts_diff,avg_clinch_strikes_diff,avg_clinch_attempts_diff,avg_ground_strikes_diff,avg_ground_attempts_diff,wins_before_diff,losses_before_diff,total_fights_before_diff,win_pct_before_diff,wins_last_3_diff,fights_last_3_diff,days_since_debut_diff,days_since_last_win_diff,recent_winner_diff,wins_last_365_days_diff,fights_last_365_days_diff,undefeated_last_year_diff,win_streak_diff,lose_streak_diff,on_win_streak_diff,long_win_streak_diff,sig_strikes_ema_diff,sig_strikes_success_rate_ema_diff,sig_attempts_ema_diff,knockdowns_ema_diff,knockdowns_success_rate_ema_diff,takedowns_ema_diff,takedowns_success_rate_ema_diff,takedown_attempts_ema_diff,total_strikes_ema_diff,total_strikes_success_rate_ema_diff,total_strikes_attempts_ema_diff,head_strikes_ema_diff,head_strikes_success_rate_ema_diff,head_attempts_ema_diff,sig_strikes_roll_5_diff,sig_strikes_success_rate_roll_5_diff,sig_attempts_roll_5_diff,takedowns_roll_5_diff,takedowns_success_rate_roll_5_diff,takedown_attempts_roll_5_diff,control_time_roll_5_diff,knockdowns_roll_5_diff,total_strikes_roll_5_diff,total_strikes_attempts_roll_5_diff,performance_trend_diff,finish_momentum_diff,dominance_momentum_diff,Orthodox_diff,Sideways_diff,Southpaw_diff,Switch_diff
1,949,1,1994,12,4,-2.864692218350754,-8.402580645161294,-3.2117799688635102,-0.597872340425532,-1.0,-1.0,0.0,-0.76,0.0,-630.0,0.0,-6.857142857142857,-3.7142857142857135,-33.57142857142857,-30.0,-0.2857142857142858,0.9285714285714286,1.5714285714285714,-2.2857142857142856,-3.857142857142857,-0.7142857142857143,-1.4285714285714286,-0.7142857142857143,-1.5714285714285714,-0.5714285714285714,-2.142857142857143,-1.7142857142857142,-2.857142857142857,-1.4285714285714286,-1.8571428571428568,-5,0,-5,0.0,-1,-1,-280,0.0,0,-5,-5,0,-5,0,0,-1,-5.500982,0.0,-10.76428,0.0,0.0,0.8498999999999999,0.0,0.7334490000000007,-35.165021,-0.16685633271164546,-40.96361699999999,-3.448263,0.0,-6.478263,-4.0,-0.2895915675840359,-8.0,1.1,0.39999999710000006,1.6,0.0,0.0,-17.8,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,134,1,1995,7,4,-2.864692218350754,-37.402580645161294,-3.2117799688635102,-2.297872340425535,-1.0,-4.0,-0.94,-2.52,-0.31,-333.0,0.0,-1.333333333333333,-3.166666666666667,9.666666666666668,3.166666666666666,0.16666666666666663,0.16666666666666674,0.16666666666666674,-0.3333333333333335,1.333333333333333,-2.5,-2.3333333333333335,-0.33333333333333337,-0.33333333333333337,0.0,-0.5,-1.3333333333333335,-1.1666666666666667,-1.8333333333333335,0.33333333333333304,3,1,4,-0.16700000000000004,1,1,-98,-210.0,0,3,4,-1,1,0,0,1,-3.6043999999999996,0.0,-1.5687000000000006,0.0,0.0,0.07202999999999982,0.0,-0.01187999999999989,2.6752999999999947,-0.35684257249788154,9.375699999999998,-0.7513999999999998,0.0,1.1373000000000006,-2.6,-0.4909430430603867,-0.2999999999999998,0.19999999999999996,0.12999999808999996,0.30000000000000004,0.0,0.0,6.100000000000001,14.3,0.0,0.0,0.0,-1.0,0.0,1.0,0.0
1,57,1,1995,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.833333333333334,6.333333333333333,3.916666666666668,1.0,-1.5,0.6666666666666666,-0.33333333333333337,6.333333333333333,9.833333333333334,0.0,0.0,0.0,0.0,-0.75,-1.9166666666666667,0.41666666666666663,1.4166666666666667,6.666666666666667,10.333333333333334,-1,0,-1,-0.08299999999999996,0,0,0,98.0,0,-1,-1,0,-2,1,-1,0,6.959999999999998,0.0,10.349999999999998,0.0,0.0,0.7,0.0,-0.5430000000000001,-2.400000000000002,0.3975988700564971,0.0,6.959999999999998,0.0,10.349999999999998,6.333333333333333,0.4384615380951056,9.833333333333334,0.6666666666666666,0.6666666600000001,-0.33333333333333337,0.0,0.0,1.0,3.916666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,797,1,1995,9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,3.75,1.25,11.25,9.25,-2.0,0.0,0.0,2.25,5.25,-0.5,-0.25,-0.5,-1.25,0.25,2.0,1.0,2.25,0.0,-0.5,1,1,2,-0.25,1,2,56,0.0,0,1,2,0,0,0,0,0,0.7299999999999986,0.0,5.099999999999998,0.4899999999999999,0.0,0.3,0.0,0.3,-1.4000000000000021,-0.01333333333333342,-0.030000000000001137,3.0299999999999994,0.0,8.42,-0.3333333333333335,-0.061327562140405356,2.0,0.3333333333333333,0.33333333,0.3333333333333333,0.0,0.3333333333333333,-1.666666666666666,-2.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1080,1,1995,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,16.85,10.45,16.55,8.9,0.10000000000000009,0.5,-0.25,3.2,6.6,0.5,0.5,6.75,9.75,6.9,11.95,0.55,0.4,3.0,4.5,-1,-1,-2,0.19999999999999996,0,0,-154,0.0,0,-1,-3,1,0,0,0,0,8.35,0.0,13.419999999999998,0.21,0.0,0.3,0.0,-0.8700999999999999,5.75,0.34931127253161154,12.57,1.8399999999999999,0.0,3.829999999999999,11.866666666666665,0.6302501982185833,19.93333333333333,0.3333333333333333,0.33333333,-0.6666666666666667,0.0,0.3333333333333333,11.733333333333329,21.466666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,180,1,1995,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.446428571428571,-0.9464285714285714,-2.7678571428571423,-2.25,0.6785714285714286,-1.0,-0.3571428571428572,-1.2678571428571428,0.8214285714285712,0.0,0.017857142857142794,0.3214285714285714,1.6071428571428568,1.1607142857142858,6.017857142857143,-0.1071428571428572,0.05357142857142849,-2.0,-3.625,-2,-1,-3,0.05499999999999994,1,0,-112,0.0,0,1,1,0,4,-1,1,1,-0.4489200000000002,0.0,7.03809,0.0,0.0,-0.7504209999999998,0.0,0.5173860000000001,-0.6767099999999981,-0.3015358978314187,2.8100099999999983,-1.24602,0.0,3.34389,-1.7999999999999998,-0.5371377623676137,2.4000000000000004,-0.8,-0.7999999920000002,0.3999999999999999,0.0,0.0,-5.4,-7.599999999999998,0.0,0.0,0.0,1.0,0.0,-1.0,0.0
1,75,1,1995,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,5.083333333333333,0.33333333333333215,0.5,-1.3333333333333333,0.75,-0.5833333333333333,5.75,7.583333333333333,0.0,-0.1666666666666666,-0.6666666666666666,-2.1666666666666665,-1.5,-6.75,1.3333333333333335,3.5,5.25,8.5,-3,0,-3,-0.21399999999999997,-1,0,0,98.0,0,-2,-2,0,0,1,0,0,3.1403999999999987,0.0,-3.4079999999999977,0.0,0.0,0.7899999999999999,0.0,-0.7133489999999999,-5.674199999999997,0.1448800660069683,-12.380099999999995,5.180399999999999,0.0,1.331999999999999,3.15,0.3215958176715724,-2.0500000000000007,0.75,0.7499999925000002,-0.8500000000000001,0.0,0.0,-6.800000000000001,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,159,1,1995,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333393,2.666666666666668,-6.666666666666664,-4.666666666666661,-1.3333333333333335,-0.3333333333333333,-0.3333333333333333,7.333333333333334,11.333333333333334,-0.3333333333333333,0.0,-4.333333333333334,-8.0,-6.333333333333334,-11.333333333333332,0.33333333333333326,0.9999999999999998,8.666666666666668,13.666666666666666,-1,0,-1,-0.08299999999999996,0,0,364,266.0,0,-3,-3,-1,1,-1,1,0,9.266999999999996,0.0,4.245999999999999,0.34299999999999986,0.0,-0.21,0.0,-0.21,1.279,-0.023446518350930146,-5.702000000000005,12.363999999999995,0.0,12.198999999999996,2.333333333333334,-0.0790184249938577,-4.333333333333332,-0.25,-0.2499999975,-0.25,0.0,0.08333333333333331,-6.333333333333332,-15.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0
1,74,1,1995,12,5,-0.9188153310104639,-30.841548387096793,-2.4470679813181135,-0.878723404255318,-0.6,-1.0,-1.47,-1.09,-0.076,-194.4,-0.6666666666666666,-0.5,-3.166666666666666,5.5,-3.3333333333333286,0.16666666666666669,0.5,0.6666666666666667,-2.5,-1.8333333333333286,-0.6666666666666666,0.33333333333333337,0.0,1.0,-2.5,-5.666666666666666,-3.0,-4.333333333333333,2.333333333333333,9.5,0,-2,-2,0.5,0,-1,308,210.0,0,-2,-3,0,1,0,0,0,-3.0999999999999996,0.0,-1.9299999999999997,-0.98,0.0,0.5799999999999998,0.0,0.67,-3.419999999999998,-0.11597665480059849,1.8100000000000023,-2.59,0.0,-2.620000000000001,-3.166666666666666,-0.10736531985803816,-0.5,0.5,0.2777777757407408,0.6666666666666667,0.0,-0.6666666666666666,-3.3333333333333286,5.5,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
1,1080,1,1995,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,7.305555555555555,4.972222222222222,-18.194444444444443,-15.25,-0.16666666666666663,0.11111111111111116,-0.08333333333333326,5.361111111111111,7.805555555555555,-0.05555555555555558,-0.16666666666666663,-0.3333333333333333,-0.3333333333333333,1.6111111111111112,0.7222222222222223,2.0277777777777777,2.9166666666666665,1.3333333333333335,3.666666666666667,-3,-1,-4,-0.04699999999999993,0,0,-210,-253.0,0,-1,-1,0,1,0,0,0,-1.0458440000000007,0.0,-11.585337,0.6859999999999998,0.0,0.27870530000000027,0.0,0.10982119999999995,-54.83389700000001,-0.058957760482461596,-74.70009300000001,0.6791859999999996,0.0,-9.788277000000003,1.9500000000000002,0.05696926354158738,-1.25,0.4,0.06666666711111102,0.44999999999999996,0.0,0.5,-35.45,-46.75,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
