name,octagon_debut,height,weight,reach,leg_reach,sig_strikes_landed_per_minute,sig_strikes_absorbed_per_minute,takedowns_avg,submission_avg,knockdown_avg,fight_time_avg
hanseul kim,"Jun. 10, 2022",69.6,171.0,73.5,39.8,6.0,6.0,0.0,1.71,1.14,525
hannah cifers,"Nov. 10, 2018",61.0,117.0,62.0,35.0,5.0,5.0,0.26,0.26,0.51,500
hannah goldy,"Aug. 3, 2019",64.0,125.0,61.0,36.0,5.0,5.0,0.66,0.22,0.0,682
hans stringer,"Mar. 24, 2014",75.0,205.0,73.0,41.7,3.0,3.0,2.4,0.0,0.0,501
harold howard,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
harrison garcia,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
harry hardwick,"Sep. 6, 2025",70.0,156.0,71.5,40.0,2.0,7.0,0.0,0.0,0.0,201
harry hunsucker,"Mar. 20, 2021",74.0,204.5,75.0,42.0,4.0,7.0,0.0,2.04,0.0,110
harry moskowitz,"Oct. 17, 1997",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
harvey park,"Sep. 27, 2025",68.8,155.5,70.6,40.7,4.0,7.0,0.0,0.0,0.0,366
hashem arkhagha,"Sep. 27, 2025",74.0,189.0,75.0,42.0,2.0,9.0,0.0,0.0,0.0,261
hatsu hioki,"Oct. 29, 2011",71.0,146.0,70.0,40.0,2.0,2.0,2.55,0.61,0.0,825
hayato sakurai,"Mar. 22, 2002",68.0,170.0,71.2,38.9,0.0,25.0,0.0,0.0,0.83,1081
hayder hassan,"Jul. 12, 2015",70.0,170.0,70.0,38.0,2.0,3.0,0.0,0.0,0.0,325
he-man gipson,"Jul. 14, 1995",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
heath herring,"Jan. 25, 2007",76.0,250.0,78.0,43.4,2.0,2.0,1.22,0.73,0.37,739
heather jo clark,"Dec. 12, 2014",66.0,116.0,64.0,38.0,4.0,6.0,0.33,0.33,0.0,900
hecher sosa,"Sep. 27, 2025",67.2,136.0,69.2,38.9,2.0,1.0,4.0,2.0,0.0,900
hector aldana,"Jun. 23, 2018",71.0,170.0,72.5,40.5,4.0,5.0,0.93,0.0,0.0,646
hector lombard,"Jul. 21, 2012",69.0,185.7,71.0,38.5,3.0,3.0,1.69,0.47,0.66,687
hector ramirez,"Nov. 18, 2006",72.0,204.0,74.6,41.1,2.0,5.0,2.3,0.46,0.0,652
hector sandoval,"Jul. 31, 2016",62.0,126.0,64.0,36.0,3.0,2.0,3.49,1.4,0.0,322
hector urbina,"Nov. 15, 2014",72.0,170.0,73.0,40.0,1.0,2.0,0.0,3.82,0.0,393
henrique da silva lopes,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
henrique shiguemoto,"Sep. 27, 2025",72.6,185.5,75.2,43.1,4.0,6.0,0.0,0.0,0.0,50
henrique da silva,"Sep. 27, 2025",75.0,205.0,76.5,43.0,4.0,5.0,0.25,0.25,0.0,523
henry briones,"Nov. 15, 2014",68.0,136.0,69.0,38.0,3.0,5.0,0.0,0.58,0.29,616
henry cejudo,"Dec. 13, 2014",64.0,135.0,64.0,37.0,4.0,3.0,1.84,0.15,0.37,814
henry martinez,"Feb. 4, 2012",67.0,158.8,69.0,39.3,3.0,4.0,0.0,0.0,0.0,759
herbert burns,"Aug. 6, 2019",69.0,146.0,73.5,40.0,2.0,5.0,2.94,1.84,0.37,350
herdem alacabek,"Sep. 27, 2025",74.0,205.0,74.5,41.0,4.0,7.0,2.06,0.0,0.0,874
hermes franca,"Apr. 25, 2003",66.0,159.0,68.0,38.6,2.0,3.0,1.53,2.38,0.38,787
hernani perpetuo,"Apr. 19, 2014",72.0,171.0,74.0,41.4,3.0,4.0,0.0,0.5,0.0,900
hilarie rose,"Sep. 27, 2025",63.6,115.5,63.7,37.3,2.0,6.0,0.0,0.0,0.0,900
ho taek oh,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
holly holm,"Feb. 28, 2015",68.0,136.0,69.0,38.0,3.0,3.0,0.87,0.06,0.12,965
homer moore,"Nov. 2, 2001",61.0,202.0,71.3,39.0,1.0,1.0,5.07,0.0,0.0,355
horacio gutierrez,"Nov. 21, 2015",70.0,146.0,69.0,40.0,1.0,3.0,0.0,0.0,0.0,526
houston alexander,"May. 27, 2007",72.0,208.0,74.1,41.4,3.0,3.0,1.19,0.0,0.9,377
houston dorr,"Oct. 17, 1997",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
hu yaozong,"Nov. 25, 2017",75.0,186.0,72.0,44.0,3.0,5.0,0.0,0.4,0.0,746
hugo cunha,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,1.0,3.0,0.0,0.0,0.0,299
hugo duarte,"May. 15, 1998",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
hugo viana,"Jun. 24, 2012",66.0,136.0,67.0,37.9,3.0,3.0,0.22,0.0,0.89,673
humberto bandenay,"Aug. 6, 2017",71.0,146.0,71.5,40.0,2.0,5.0,2.9,0.48,0.48,466
humberto brown,"Nov. 15, 2014",70.0,146.0,71.0,40.2,2.0,2.0,1.43,0.0,0.0,630
hunter azure,"Sep. 14, 2019",68.0,135.5,70.5,38.5,4.0,2.0,1.97,1.31,0.22,824
hyder amil,"Feb. 10, 2024",69.0,145.5,70.0,39.0,7.0,4.0,0.77,1.16,0.39,465
hyun gyu lim,"Mar. 2, 2013",75.0,170.5,77.0,43.0,4.0,5.0,0.23,0.23,0.93,551
hyunsung park,"Jun. 10, 2022",67.0,126.0,66.0,36.5,4.0,3.0,1.59,2.39,0.8,377
ian entwistle,"Jun. 28, 2014",66.0,139.0,64.0,35.0,0.0,7.0,0.0,12.07,0.0,174
ian freeman,"Mar. 10, 2000",71.0,220.0,76.1,41.9,3.0,3.0,1.44,0.72,0.0,418
ian heinisch,"Nov. 17, 2018",71.0,185.5,72.0,41.0,3.0,3.0,1.02,0.68,0.34,660
ian loveland,"Dec. 5, 2010",68.0,135.0,69.6,38.2,3.0,2.0,1.0,0.33,0.67,900
ian machado garry,"Nov. 6, 2021",75.0,180.3,74.5,42.0,5.0,3.0,1.02,0.41,0.41,884
ian mccall,"Mar. 3, 2012",65.0,125.2,65.6,37.5,4.0,3.0,2.08,0.0,0.0,819
iasmin lucindo,"Aug. 13, 2022",63.0,115.0,66.0,36.0,3.0,3.0,2.28,0.15,0.0,846
ibo aslan,"Mar. 30, 2024",75.0,204.0,77.5,43.5,5.0,3.0,0.0,0.0,0.92,391
icho larenas,"Mar. 4, 2006",75.0,233.0,76.8,43.8,0.0,3.0,0.0,0.0,0.0,719
ignacio bahamondes,"Apr. 10, 2021",75.0,155.5,75.5,42.0,7.0,4.0,0.0,0.43,0.72,625
igor araujo,"Oct. 9, 2013",73.0,171.0,77.0,42.7,2.0,3.0,0.86,0.57,0.0,788
igor pokrajac,"Sep. 19, 2009",73.0,205.0,74.0,41.9,2.0,4.0,0.87,0.25,0.5,559
igor severino,"Mar. 23, 2024",67.0,125.0,69.5,37.0,7.0,4.0,9.69,0.0,1.94,465
igor zinoviev,"Mar. 13, 1998",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
ihor potieria,"Jul. 30, 2022",75.0,188.0,75.0,44.0,4.0,5.0,0.73,0.0,0.97,411
ike villanueva,"May. 13, 2020",73.0,205.5,73.0,39.0,4.0,7.0,0.6,0.0,0.6,251
ikram aliskerov,"May. 6, 2023",72.0,185.5,76.0,40.0,8.0,6.0,1.14,1.14,3.42,158
