name,octagon_debut,height,weight,reach,leg_reach,sig_strikes_landed_per_minute,sig_strikes_absorbed_per_minute,takedowns_avg,submission_avg,knockdown_avg,fight_time_avg
aj cunningham,"Mar. 2, 2024",70.0,136.0,71.0,41.0,4.0,6.0,0.0,0.52,0.0,574
aj dobson,"Feb. 12, 2022",73.0,185.0,76.0,43.5,4.0,5.0,1.67,0.28,0.28,647
aj fletcher,"Mar. 12, 2022",70.0,183.0,67.0,37.0,3.0,5.0,1.54,0.93,0.31,583
aalon cruz,"Jul. 30, 2019",72.0,155.0,78.0,42.0,8.0,9.0,0.0,0.0,0.85,354
aaron brink,"Nov. 17, 2000",75.0,231.0,77.4,44.3,3.0,6.0,0.0,0.0,0.0,111
aaron jeffery,"Sep. 27, 2025",74.0,185.5,73.5,41.0,3.0,4.0,0.0,0.0,0.0,552
aaron phillips,"May. 24, 2014",69.0,136.0,71.0,40.0,2.0,4.0,0.86,0.57,0.0,787
aaron pico,"Jul. 26, 2025",68.0,145.0,70.5,39.7,4.0,2.0,8.96,0.0,0.0,201
aaron riley,"May. 10, 2002",68.0,156.0,70.5,39.1,3.0,4.0,1.18,0.15,0.15,608
aaron rosa,"Jun. 12, 2011",76.0,205.5,78.0,43.4,4.0,4.0,0.36,0.36,0.0,498
aaron simpson,"Apr. 1, 2009",72.0,171.0,74.3,41.2,4.0,3.0,3.78,0.47,0.83,635
aaron wilkinson,"Dec. 5, 2010",72.0,155.0,72.6,41.1,0.0,0.0,7.32,0.0,0.0,123
abdul azeem badakhshi,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
abdul razak alhassan,"Nov. 19, 2016",70.0,185.5,73.0,39.0,4.0,4.0,0.84,0.17,1.85,358
abdul-kareem al-selwady,"Mar. 2, 2024",68.0,155.0,69.0,39.0,4.0,4.0,2.32,0.0,0.0,775
abdul-kerim edilov,"Sep. 2, 2017",74.0,204.0,78.0,42.0,10.0,0.0,3.98,1.99,0.0,452
abdulrakhman yakhyaev,"Sep. 27, 2025",75.2,206.0,77.4,43.4,32.0,2.0,0.0,0.0,30.0,30
abel trujillo,"Dec. 8, 2012",68.0,155.5,70.0,39.0,3.0,2.0,2.18,0.44,0.44,563
abner lloveras,"Dec. 11, 2015",71.0,155.0,71.5,41.0,6.0,7.0,2.0,0.0,0.0,900
abu azaitar,"Jul. 22, 2018",69.0,186.0,76.0,41.0,4.0,4.0,1.0,0.0,0.0,899
abubakar nurmagomedov,"Nov. 9, 2019",71.0,170.0,72.0,39.5,3.0,3.0,1.25,0.0,0.0,718
abus magomedov,"Sep. 3, 2022",74.0,185.5,78.0,43.0,3.0,4.0,2.65,0.22,0.22,679
acacio dos santos,"Sep. 27, 2025",76.0,201.0,79.0,45.0,1.0,1.0,0.0,0.0,0.0,900
achilles estremadura,"Sep. 27, 2025",70.0,156.0,68.0,40.5,3.0,3.0,0.0,0.0,0.0,900
adam antolin,"Aug. 29, 2017",65.0,125.0,66.1,37.5,6.0,5.0,0.0,0.0,0.0,345
adam cella,"Apr. 6, 2013",74.0,184.0,76.6,41.6,2.0,3.0,3.92,1.31,0.0,460
adam fugitt,"Jul. 30, 2022",73.0,171.0,77.0,41.0,5.0,5.0,1.83,0.0,0.0,491
adam hunter,"Sep. 27, 2025",73.0,185.5,73.0,40.0,0.0,0.0,0.0,0.0,0.0,0
adam khaliev,"Sep. 27, 2025",70.0,170.0,71.2,39.5,0.0,0.0,0.0,0.0,0.0,0
adam milstead,"May. 30, 2016",75.0,204.0,76.0,42.0,4.0,5.0,0.0,0.0,0.0,495
adam wieczorek,"Nov. 18, 2017",77.0,232.2,81.0,46.0,2.0,2.0,0.41,0.41,0.0,740
adam yandiev,"Sep. 15, 2018",69.0,184.0,74.0,40.0,0.0,6.0,0.0,0.0,0.0,342
adlan amagov,"Jan. 8, 2012",74.0,171.0,75.1,42.2,3.0,1.0,5.84,0.0,1.3,381
adli edwards,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
adrian diaz,"Aug. 15, 2017",70.0,144.5,70.6,40.1,0.0,4.0,2.4,0.0,0.0,375
adrian serrano,"Jun. 9, 2000",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
adrian yanez,"Oct. 31, 2020",67.0,136.0,70.0,38.0,6.0,6.0,0.0,0.0,1.54,408
adriano martins,"Jan. 13, 2013",69.0,156.0,72.0,40.0,2.0,2.0,0.83,0.41,0.62,583
adriano santos,"Oct. 16, 1998",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
ahmad hassanzada,"Apr. 26, 2025",69.6,154.5,72.8,39.5,3.0,4.0,2.43,1.22,0.0,740
aiemann zahabi,"Feb. 20, 2017",68.0,142.0,68.5,38.0,4.0,4.0,0.14,0.0,0.42,707
aili muratbek,"Jun. 9, 2022",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
ailin perez,"Sep. 3, 2022",65.0,135.0,66.0,36.0,3.0,2.0,4.68,0.2,0.2,738
aisling daly,"Dec. 12, 2014",62.0,116.0,64.0,37.0,3.0,1.0,2.15,0.86,0.0,698
akbarh arreola,"Jul. 26, 2014",70.0,155.0,71.0,40.0,2.0,4.0,1.07,0.36,0.72,628
akihiro gono,"Nov. 17, 2007",69.0,171.0,71.8,40.6,2.0,11.0,1.57,0.39,0.39,766
akira corassani,"Sep. 29, 2012",68.0,145.0,67.0,38.4,3.0,5.0,0.7,0.0,0.0,427
akitoshi tamura,"Sep. 27, 2025",69.0,135.0,70.2,39.1,4.0,2.0,0.0,1.0,0.0,896
al iaquinta,"Jun. 2, 2012",70.0,155.8,70.0,40.0,4.0,5.0,0.63,0.24,0.55,762
al matavao,"Sep. 27, 2025",73.2,200.0,77.3,40.9,8.0,7.0,0.0,0.0,0.0,421
alan baudot,"Oct. 10, 2020",75.0,253.0,79.0,44.0,5.0,5.0,0.0,0.0,0.48,467
alan belcher,"Aug. 26, 2006",74.0,185.0,75.0,42.4,3.0,3.0,0.44,0.87,0.33,551
alan jouban,"Aug. 16, 2014",72.0,170.5,73.5,41.0,6.0,4.0,0.51,0.26,1.15,540
alan omer,"Apr. 11, 2014",69.0,146.0,71.0,40.1,3.0,2.0,1.69,0.0,0.0,801
alan patrick,"Oct. 9, 2013",70.0,156.0,74.0,42.0,2.0,3.0,3.01,0.26,0.13,688
alatengheili,"Aug. 31, 2019",65.0,136.0,66.5,35.0,3.0,5.0,1.74,0.0,0.12,805
albert cheng,"Mar. 1, 2014",71.0,170.0,73.6,40.5,1.0,3.0,0.0,0.0,0.0,300
albert duraev,"Oct. 30, 2021",71.0,195.0,75.0,40.0,3.0,3.0,1.97,0.56,0.0,639
albert morales,"Sep. 18, 2016",69.0,135.0,72.0,39.0,4.0,4.0,0.91,0.18,0.0,706
albert tumenov,"Feb. 15, 2014",71.0,169.0,73.0,39.0,4.0,3.0,0.2,0.0,1.01,556
alberta cerra,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
alberto cerro leon,"Mar. 11, 1994",75.0,205.6,76.8,44.2,0.0,0.0,0.0,0.0,0.0,0
alberto crane,"Aug. 25, 2007",69.0,155.0,71.1,39.9,0.0,3.0,0.0,4.0,0.8,563
alberto mina,"Aug. 23, 2014",72.0,171.0,77.5,42.5,3.0,4.0,1.85,0.0,1.11,609
alberto montes,"Apr. 12, 2025",68.4,145.5,69.7,38.7,5.0,5.0,0.0,9.83,0.0,458
alberto pereira,"May. 30, 2016",75.0,185.5,77.0,45.0,2.0,3.0,2.83,0.0,0.0,318
alden coria,"Sep. 13, 2025",68.0,125.0,67.0,38.2,4.0,1.0,2.78,0.0,0.0,647
alejandro flores,"Sep. 27, 2025",68.4,145.5,69.7,38.7,4.0,2.0,0.0,0.0,0.0,475
alejandro perez,"Nov. 15, 2014",66.0,144.5,67.0,36.5,3.0,3.0,0.54,0.32,0.11,641
aleksa camur,"Jul. 30, 2019",73.0,204.5,74.0,42.0,5.0,4.0,0.46,0.0,0.23,790
aleksandar rakic,"Sep. 2, 2017",76.0,206.0,78.0,46.0,4.0,3.0,0.66,0.13,0.52,686
aleksandre topuria,"Feb. 8, 2025",67.0,135.5,68.0,38.0,3.0,3.0,1.0,0.0,0.0,900
aleksei kunchenko,"Sep. 15, 2018",68.0,170.0,70.0,37.0,4.0,3.0,0.25,0.0,0.0,900
aleksei oleinik,"Jun. 28, 2014",74.0,254.0,80.0,45.0,3.0,4.0,1.82,1.95,0.26,408
alen amedovski,"Apr. 20, 2019",70.0,185.5,74.0,41.5,1.0,4.0,0.0,0.0,0.0,304
alessandro costa,"Dec. 17, 2022",64.0,125.0,67.0,36.0,4.0,4.0,0.46,0.46,0.69,656
alessandro ricci,"Aug. 28, 2016",71.0,156.0,69.0,39.0,2.0,3.0,0.0,0.0,0.0,592
alessio di chirico,"Apr. 10, 2016",72.0,186.0,74.0,45.0,3.0,3.0,1.46,0.0,0.4,617
alessio sakara,"Feb. 4, 2006",72.0,185.0,72.0,40.4,4.0,3.0,2.18,0.0,0.79,302
alex andrade,"Jun. 9, 2000",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,3.0,0.0,0.75,0.0,1200
alex caceres,"Mar. 27, 2011",70.0,158.8,73.5,41.0,4.0,3.0,0.54,0.67,0.21,722
alex chambers,"Dec. 12, 2014",63.0,115.8,63.0,36.0,3.0,5.0,2.31,0.99,0.0,546
alex enlund,"Sep. 27, 2025",70.0,145.0,73.0,41.2,0.0,0.0,0.0,0.0,0.0,0
alex garcia,"Mar. 15, 2014",69.0,170.5,72.0,39.5,2.0,3.0,3.72,0.13,0.38,702
alex gilpin,"Sep. 27, 2025",68.0,146.0,70.8,38.8,7.0,12.0,2.17,2.17,0.0,415
alex gorgees,"Sep. 27, 2025",70.6,156.0,71.7,40.6,1.0,2.0,0.0,0.0,0.0,900
alex hunter,"Jul. 27, 1997",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
alex karalexis,"Apr. 9, 2005",68.0,171.0,71.6,38.7,3.0,2.0,2.7,0.9,0.0,499
alex morono,"Jan. 3, 2016",71.0,171.0,72.0,39.0,5.0,5.0,0.33,0.33,0.28,704
alex nicholson,"Feb. 7, 2016",76.0,185.0,81.0,44.6,4.0,5.0,0.0,0.53,0.53,426
alex oliveira,"Mar. 21, 2015",71.0,170.0,76.5,43.0,3.0,3.0,2.35,0.57,0.43,574
alex pereira,"Nov. 6, 2021",76.0,205.0,79.0,44.0,5.0,4.0,0.11,0.23,0.8,717
alex perez,"Aug. 8, 2017",66.0,126.0,65.5,38.0,4.0,3.0,2.04,0.85,0.68,407
alex reyes,"Sep. 16, 2017",71.0,156.0,73.0,41.0,4.0,7.0,1.5,0.0,0.0,399
alex schoenauer,"Apr. 9, 2005",75.0,185.0,76.9,42.7,1.0,2.0,0.0,4.86,0.0,370
alex serdyukov,"Sep. 27, 2025",74.0,170.0,75.7,42.7,5.0,3.0,1.84,1.84,0.0,407
alex soto,"Nov. 20, 2011",68.0,135.0,69.6,38.2,3.0,5.0,2.82,0.0,0.0,478
alex steibling,"Nov. 17, 2000",72.8,188.0,73.2,41.6,2.0,1.0,0.35,0.71,0.0,672
alex torres,"Feb. 28, 2015",70.0,145.5,70.0,39.8,2.0,3.0,2.0,0.0,0.0,900
alex white,"Apr. 19, 2014",72.0,155.0,71.5,41.0,4.0,3.0,0.92,0.52,0.52,688
alex da silva,"Apr. 20, 2019",68.0,155.5,73.0,40.0,2.0,3.0,1.97,0.28,0.28,798
alexa grasso,"Nov. 6, 2016",65.0,126.0,66.0,37.5,4.0,4.0,0.41,0.61,0.07,948
alexander gustafsson,"Nov. 14, 2009",77.0,205.0,79.0,46.0,4.0,4.0,1.53,0.4,0.72,622
alexander hernandez,"Mar. 3, 2018",69.0,156.0,72.0,39.5,4.0,5.0,1.14,0.09,0.52,605
alexander morgan,"Sep. 27, 2025",67.2,144.5,69.7,39.4,4.0,3.0,0.0,0.0,0.0,194
alexander munoz,"Aug. 8, 2020",69.0,155.5,72.0,39.0,4.0,5.0,3.0,0.0,0.25,900
alexander poppeck,"Sep. 27, 2025",74.2,204.0,76.4,42.7,4.0,10.0,0.0,0.0,0.0,569
alexander soldatkin,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,1.0,1.0,1.45,0.0,0.0,620
alexander volkanovski,"Oct. 15, 2016",66.0,145.0,71.5,36.0,6.0,3.0,1.67,0.16,0.32,981
alexander volkov,"Nov. 19, 2016",79.0,254.5,80.0,47.5,5.0,3.0,0.61,0.24,0.24,777
alexander yakovlev,"May. 31, 2014",75.0,155.5,74.0,42.5,2.0,2.0,1.66,0.15,0.3,661
alexandr romanov,"Apr. 25, 2020",74.0,261.0,75.0,43.0,4.0,2.0,4.49,0.86,0.0,521
alexandra albu,"Apr. 11, 2015",62.0,116.0,63.0,36.0,5.0,6.0,2.27,0.38,0.0,594
alexandre barros,"Jan. 17, 2009",69.0,185.0,70.9,39.3,1.0,4.0,1.84,0.0,0.0,489
alexandre dantas,"Sep. 22, 2000",74.0,231.0,77.4,43.3,0.0,2.0,0.0,3.11,0.0,289
alexandre ferreira,"Nov. 13, 2010",67.0,204.0,70.9,39.6,3.0,8.0,0.0,0.0,0.0,140
alexandre nogueira,"Sep. 27, 2025",68.0,145.0,69.7,39.5,1.0,4.0,0.0,0.0,0.0,502
alexandre pantoja,"Jan. 29, 2017",65.0,125.0,67.0,36.5,4.0,4.0,2.8,0.98,0.28,757
alexia thainara,"Mar. 22, 2025",64.0,116.0,67.0,35.5,6.0,3.0,3.07,2.3,0.0,586
alexis davis,"Mar. 4, 2012",66.0,135.0,68.0,37.5,5.0,4.0,0.95,0.65,0.0,780
alexis dufresne,"Jul. 6, 2014",69.0,138.0,68.0,39.9,1.0,3.0,1.5,0.0,0.0,900
alfonso alcarez,"Sep. 24, 1999",75.0,205.6,76.8,44.2,0.0,0.0,0.0,0.0,0.0,0
alfred khashakyan,"Jul. 18, 2017",68.0,136.0,70.0,38.2,6.0,6.0,3.54,0.0,0.0,254
ali al-qaisi,"Aug. 8, 2020",68.0,136.0,68.0,38.0,2.0,2.0,3.5,1.0,0.0,900
ali bagautinov,"Sep. 4, 2013",65.0,126.0,65.0,36.0,3.0,3.0,2.51,0.26,0.26,973
aliaskhab khizriev,"Apr. 10, 2021",69.0,186.0,74.0,39.0,6.0,4.0,5.64,3.76,0.0,160
alibi idiris,"Aug. 16, 2025",66.0,126.0,69.0,38.0,3.0,4.0,0.0,0.0,0.0,484
alice ardelean,"Jul. 27, 2024",63.0,115.5,62.0,36.0,7.0,5.0,1.0,0.0,0.0,900
alice pereira,"Sep. 13, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,2.0,3.0,0.0,0.0,0.0,900
alistair overeem,"Dec. 30, 2011",76.0,255.5,80.0,44.5,4.0,2.0,1.42,0.83,0.79,438
aljamain sterling,"Feb. 22, 2014",67.0,153.0,71.0,39.0,4.0,2.0,2.45,0.64,0.0,834
allan begosso,"Sep. 27, 2025",67.6,135.5,69.5,37.9,2.0,8.0,0.0,2.0,0.0,900
allan goes,"May. 15, 1998",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,1.0,1.0,1.75,2.63,0.0,513
allan nascimento,"Oct. 30, 2021",68.5,127.5,69.5,37.5,3.0,2.0,1.42,0.95,0.0,759
allan zuniga,"Jul. 6, 2018",67.0,156.0,70.0,37.0,4.0,2.0,0.0,1.0,0.0,900
allen berube,"Jun. 23, 2007",68.0,153.0,70.5,38.6,1.0,1.0,6.87,3.44,0.0,262
allen crowder,"Aug. 29, 2017",75.0,255.0,76.0,42.5,3.0,3.0,1.85,1.23,0.0,366
alonzo menifield,"Jan. 19, 2019",72.0,206.0,76.0,41.0,4.0,4.0,0.5,0.2,0.6,473
alptekin ozkilic,"Dec. 15, 2013",65.0,126.0,65.0,37.8,4.0,6.0,4.21,0.0,0.0,748
alton cunningham,"Sep. 27, 2025",74.0,205.5,77.5,43.4,3.0,5.0,1.67,0.0,0.0,541
alton meeks,"Sep. 27, 2025",75.0,262.0,76.7,42.6,1.0,4.0,7.06,0.0,0.0,255
alvaro herrera,"Nov. 21, 2015",73.0,156.0,74.0,41.0,2.0,3.0,0.0,1.13,1.13,199
alvaro ivan lopez rodrigues,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
alvin hines,"Jun. 28, 2025",74.0,259.5,74.0,41.6,5.0,7.0,1.0,0.0,0.0,900
alvin robinson,"Jul. 7, 2007",68.0,155.0,70.5,38.5,2.0,1.0,1.24,1.24,0.0,546
amanda cooper,"Jul. 9, 2016",63.0,116.0,64.0,36.0,4.0,3.0,1.53,1.83,0.0,491
amanda lemos,"Jul. 16, 2017",64.0,116.0,65.0,36.0,3.0,3.0,1.02,0.72,0.61,628
amanda nunes,"Aug. 4, 2013",68.0,135.0,69.0,41.0,5.0,3.0,2.73,0.7,0.63,644
amanda ribas,"Jun. 29, 2019",64.0,116.0,66.0,37.0,4.0,3.0,2.05,0.56,0.09,743
amar suloev,"Jan. 11, 2002",69.0,183.0,71.4,38.8,2.0,7.0,0.83,0.83,0.0,540
amaury bitetti,"May. 17, 1996",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
amilcar alves,"Aug. 29, 2010",72.0,171.0,74.3,41.2,1.0,2.0,0.0,0.0,0.0,846
amir albazi,"Jul. 18, 2020",65.0,125.5,68.0,38.0,3.0,4.0,1.39,0.52,0.35,865
amir aliakbari,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
amir sadollah,"Jun. 21, 2008",71.0,170.0,74.0,40.1,5.0,4.0,0.57,0.34,0.0,720
amiran gogoladze,"Sep. 27, 2025",71.4,170.5,73.7,40.9,2.0,1.0,0.0,0.0,0.0,73
anderson silva,"Jun. 28, 2006",74.0,184.0,77.0,42.5,3.0,2.0,0.5,0.79,0.86,615
anderson dos santos,"Nov. 17, 2018",65.0,135.5,70.0,37.5,3.0,5.0,0.98,0.65,0.0,688
andre ewell,"Sep. 23, 2018",71.0,145.0,76.0,40.5,4.0,5.0,0.36,0.12,0.12,842
andre fialho,"Jan. 15, 2022",72.0,169.5,74.0,41.0,3.0,6.0,0.25,0.0,0.49,524
andre fili,"Oct. 20, 2013",71.0,146.0,74.0,40.0,4.0,4.0,2.22,0.23,0.34,633
andre gusmao,"Aug. 9, 2008",74.0,206.0,75.4,41.8,3.0,3.0,0.0,0.0,0.0,549
andre lima,"Mar. 23, 2024",67.0,126.0,67.5,38.0,4.0,2.0,1.36,1.14,0.0,791
andre muniz,"Nov. 16, 2019",73.0,185.0,78.0,43.0,2.0,2.0,4.02,1.19,0.0,549
andre pederneiras,"Jul. 16, 1999",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
andre petroski,"Aug. 28, 2021",72.0,186.0,73.0,39.0,3.0,3.0,3.21,1.31,0.12,687
andre roberts,"May. 15, 1998",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
andre soukhamthath,"Mar. 5, 2017",69.0,136.0,70.0,37.5,3.0,4.0,1.25,0.16,0.94,824
andre winner,"Jun. 20, 2009",71.0,155.0,71.5,41.0,3.0,5.0,0.0,0.0,0.45,670
andrea lee,"May. 19, 2018",66.0,126.0,69.5,37.0,5.0,4.0,1.65,0.6,0.08,857
andreas gustafsson,"May. 31, 2025",73.0,171.0,73.5,42.0,6.0,4.0,6.19,0.0,0.62,485
andreas michailidis,"Jul. 15, 2020",72.0,170.5,76.0,41.0,3.0,4.0,1.12,0.0,0.0,605
andreas spang,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
andreas stahl,"Jul. 26, 2014",71.0,171.0,73.0,42.0,3.0,5.0,1.55,0.0,0.0,583
andrei arlovski,"Nov. 17, 2000",75.0,245.0,77.0,44.0,4.0,3.0,0.37,0.2,0.4,564
andrei semenov,"Jan. 11, 2002",72.0,183.0,73.3,47.3,1.0,4.0,0.77,0.77,0.77,584
andrew craig,"Mar. 3, 2012",73.0,170.5,76.0,41.6,2.0,3.0,0.53,0.0,0.35,734
andrew holbrook,"Jul. 25, 2015",71.0,156.0,70.0,40.5,2.0,3.0,0.85,2.12,0.0,425
andrew sanchez,"Jul. 9, 2016",73.0,185.0,74.0,41.5,4.0,5.0,2.55,0.0,0.35,778
andrew todhunter,"Sep. 27, 2025",72.0,170.0,72.0,40.0,0.0,0.0,0.0,0.0,0.0,0
andrey pulyaev,"Mar. 22, 2025",76.0,185.0,78.5,41.5,4.0,4.0,0.41,0.0,0.41,730
andy anderson,"Apr. 7, 1995",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
andy enz,"Feb. 2, 2014",75.0,186.0,78.0,43.1,4.0,5.0,0.0,0.0,0.0,639
andy ogle,"Sep. 29, 2012",68.0,146.0,69.0,37.9,2.0,2.0,1.44,0.0,0.21,728
andy wang,"Jun. 23, 2007",66.0,156.0,67.8,38.7,3.0,10.0,0.0,0.0,0.0,70
ange loosa,"Apr. 16, 2022",70.0,171.0,74.0,40.0,5.0,7.0,2.53,0.16,0.16,815
angel de anda,"Jul. 18, 2017",69.0,204.0,71.9,40.4,6.0,6.0,0.0,0.0,4.74,190
angel pacheco,"Mar. 30, 2024",68.0,147.0,70.0,39.0,10.0,11.0,0.0,0.0,0.0,900
angela hill,"Dec. 12, 2014",63.0,116.0,64.5,38.5,5.0,5.0,0.78,0.15,0.11,863
angela magana,"Dec. 12, 2014",61.0,115.0,65.0,36.0,2.0,5.0,0.4,0.4,0.0,744
angelo trevino,"Sep. 27, 2025",71.4,170.5,73.7,40.9,5.0,4.0,0.0,0.0,1.95,462
anistavio medeiros,"Jun. 24, 2012",66.0,146.0,68.6,37.7,4.0,5.0,0.0,0.0,0.0,132
anna elmose,"May. 8, 2016",63.0,116.0,65.0,37.0,4.0,5.0,0.0,0.0,0.8,563
ansar chalangov,"Nov. 19, 2005",71.0,170.0,73.6,40.5,1.0,2.0,0.0,7.63,0.0,177
anshul jubli,"Jun. 10, 2022",72.0,155.5,69.0,40.5,6.0,6.0,0.81,0.4,0.4,556
ante delija,"Oct. 17, 2020",77.0,239.0,79.0,41.0,6.0,2.0,0.0,0.0,7.32,123
anthony adams,"Sep. 27, 2025",73.0,184.5,76.5,43.0,3.0,6.0,0.0,0.0,0.0,900
anthony birchak,"Dec. 13, 2014",68.0,135.5,69.0,39.0,4.0,4.0,0.48,0.48,0.96,313
anthony christodoulou,"Jan. 24, 2015",69.0,156.0,72.0,40.5,2.0,6.0,0.0,0.0,0.0,549
anthony fryklund,"Jul. 27, 1997",72.0,181.0,73.6,40.0,3.0,7.0,0.0,0.48,0.48,375
anthony hamilton,"Jun. 28, 2014",77.0,261.0,76.0,45.0,4.0,3.0,2.62,0.0,0.24,377
anthony hernandez,"Feb. 2, 2019",72.0,186.0,75.0,40.0,5.0,3.0,6.46,1.79,0.12,627
anthony ivy,"Jun. 13, 2020",74.0,169.5,74.0,42.5,3.0,5.0,4.69,0.0,0.0,480
anthony johnson,"Jun. 12, 2007",74.0,203.8,78.0,44.0,3.0,2.0,2.43,0.64,1.66,370
anthony lapsley,"Nov. 16, 2013",69.0,171.0,71.0,39.8,1.0,1.0,0.0,0.0,0.0,568
anthony leone,"Sep. 27, 2025",66.0,135.0,68.2,37.7,2.0,3.0,1.72,0.0,0.0,525
anthony macias,"Dec. 16, 1994",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
anthony morrison,"Sep. 27, 2025",67.0,145.0,69.8,37.7,2.0,0.0,0.0,0.0,0.0,124
anthony njokuani,"Mar. 20, 2011",73.0,155.0,75.0,41.7,4.0,2.0,0.5,0.2,0.6,595
anthony perosh,"Jul. 8, 2006",75.0,205.0,75.0,44.0,2.0,4.0,2.03,1.13,0.45,333
anthony pettis,"Jun. 5, 2011",70.0,170.0,72.5,40.0,3.0,3.0,0.61,1.06,0.35,686
anthony rocco martin,"Feb. 2, 2014",72.0,170.5,73.5,41.0,3.0,3.0,0.71,1.02,0.16,763
anthony romero,"Sep. 27, 2025",70.6,156.0,71.7,40.6,6.0,4.0,2.0,0.0,0.0,900
anthony smith,"Aug. 19, 2012",76.0,206.0,76.0,44.0,3.0,5.0,0.44,0.6,0.38,579
anthony torres,"Aug. 17, 2006",70.0,170.0,71.2,39.5,4.0,8.0,0.0,2.21,0.0,204
anton berzin,"Aug. 22, 2017",74.0,205.0,76.2,42.6,4.0,7.0,2.0,1.0,0.0,900
anton kuivanen,"Feb. 15, 2012",68.0,156.0,72.0,38.2,2.0,2.0,1.2,0.4,0.0,750
anton turkalj,"Sep. 10, 2022",76.0,220.5,78.0,43.0,2.0,3.0,4.98,0.0,0.0,578
anton zafir,"Nov. 14, 2015",71.0,170.0,72.0,39.0,3.0,2.0,6.11,0.0,0.0,221
antoni hardonk,"Nov. 18, 2006",76.0,250.0,78.0,43.4,3.0,3.0,0.0,0.88,0.88,384
antonina shevchenko,"Nov. 30, 2018",68.0,124.5,67.0,41.0,4.0,3.0,0.43,0.43,0.0,693
antonio arroyo,"Nov. 16, 2019",75.0,186.0,73.5,41.0,3.0,2.0,1.14,0.23,0.23,791
antonio banuelos,"Feb. 5, 2011",63.0,136.0,67.0,36.4,3.0,3.0,1.62,0.36,0.45,716
antonio braga neto,"Jun. 8, 2013",75.0,185.8,77.0,43.0,1.0,4.0,3.07,0.51,0.0,586
antonio carlos junior,"Dec. 20, 2014",74.0,185.0,79.0,42.0,1.0,4.0,2.92,2.19,0.0,411
antonio carvalho,"Jan. 14, 2012",69.0,145.0,69.8,39.0,3.0,4.0,0.0,0.0,0.44,514
antonio jones,"Sep. 27, 2025",72.0,185.0,74.3,41.1,8.0,30.0,0.0,0.0,0.0,40
antonio mckee,"Jan. 2, 2011",68.0,156.0,70.5,39.1,1.0,1.0,1.47,0.0,0.0,708
antonio mendes,"May. 24, 2008",75.0,204.0,78.1,43.1,1.0,7.0,2.51,0.0,2.51,180
antonio rogerio nogueira,"Nov. 21, 2009",74.0,206.0,75.0,43.0,2.0,2.0,0.64,0.79,0.49,653
antonio silva,"May. 26, 2012",76.0,265.0,80.0,43.0,3.0,3.0,0.82,0.82,0.82,439
antonio trocoli,"Jul. 9, 2019",77.0,186.0,80.0,44.0,1.0,6.0,0.84,0.84,0.0,356
antonio dos santos,"Dec. 20, 2014",70.0,185.0,72.0,39.6,5.0,4.0,0.0,0.0,1.69,267
antwain britt,"Sep. 27, 2025",73.0,185.0,74.8,41.2,1.0,3.0,1.56,0.0,0.0,363
anvar boynazarov,"Sep. 27, 2025",69.2,144.0,71.1,39.4,0.0,8.0,0.0,0.0,0.0,92
aoriqileng,"Apr. 24, 2021",67.0,136.0,69.0,39.0,5.0,5.0,1.2,0.0,0.34,655
ariane carnelossi,"Sep. 21, 2019",62.0,115.5,61.5,35.0,3.0,5.0,1.37,0.27,0.0,655
ariane da silva,"Jan. 19, 2019",66.0,132.0,67.0,38.5,4.0,4.0,0.47,0.28,0.28,687
