fight_time_avg_diff,days_since_debut_diff,knockdown_avg_diff,win_pct_before_diff,days_since_last_win_diff,takedowns_avg_diff,sig_strikes_landed_per_minute_diff,losses_before_diff,avg_ground_strikes_diff,avg_ground_attempts_diff,avg_body_attempts_diff,takedowns_ema_diff,takedowns_success_rate_roll_5_diff,avg_sub_attempts_diff,avg_takedown_attempts_diff,avg_clinch_attempts_diff,avg_rounds_diff,control_time_roll_5_diff,avg_clinch_strikes_diff,avg_takedowns_diff,submission_avg_diff,avg_time_diff,avg_body_strikes_diff,reach_diff,takedown_attempts_ema_diff,avg_head_strikes_diff,takedown_attempts_roll_5_diff,total_strikes_ema_diff,avg_knockdowns_diff,total_strikes_roll_5_diff,avg_leg_strikes_diff,knockdowns_ema_diff,avg_leg_attempts_diff,weight_diff,avg_total_strikes_diff,sig_strikes_roll_5_diff,head_strikes_ema_diff,avg_head_attempts_diff,avg_distance_diff,leg_reach_diff,takedowns_roll_5_diff,head_attempts_ema_diff,avg_total_strikes_attempts_diff,avg_distance_attempts_diff,total_fights_before_diff,avg_sig_attempts_diff,total_strikes_attempts_ema_diff,sig_strikes_ema_diff,total_strikes_attempts_roll_5_diff,sig_attempts_roll_5_diff,avg_sig_strikes_diff,sig_attempts_ema_diff,sig_strikes_absorbed_per_minute_diff,wins_before_diff,knockdowns_roll_5_diff,height_diff,win_streak_diff,wins_last_365_days_diff,fights_last_365_days_diff,wins_last_3_diff,lose_streak_diff,winner
-630.0,0,0.0,0.0,0.0,0.0,-1.0,0,2.5,3.0,0.0,0.0,0.4999999925000001,0.5,-1.0,-1.0,0.0,0.0,-1.0,0.0,-0.76,263.0,0.0,-3.9758169934640506,-1.0,2.5,-1.0,9.0,0.0,9.0,-1.0,0.0,-0.5,-8.414210155148083,2.5,0.0,1.0,3.0,0.0,-0.999121265377859,0.0,2.0,3.5,0.5,-1,2.5,11.0,0.0,11.0,2.0,1.5,1.9999999999999991,-1.0,-1,0.0,-2.8526633925198297,0,-2,-2,-1,0,1
159.0,-98,0.16,0.3329999999999999,0.0,0.162,1.0,-1,7.0,12.5,0.5,0.3,0.4999999950000001,-0.6666666666666666,0.1666666666666666,3.0,0.0,0.0,3.0,0.5,0.16,-71.16666666666666,0.5,0.5351633986928022,0.09,10.0,0.1666666666666666,10.3,1.0,12.5,0.0,1.4,0.0,0.6828420310296224,12.5,10.5,8.799999999999999,16.0,0.5,0.4998242530755732,0.5,14.4,18.5,1.0,-1,16.5,15.9,9.1,18.5,16.5,10.5,14.7,1.0,0,1.0,0.3705326785039631,0,0,-1,0,0,1
-333.0,-98,-0.31,-0.167,-210.0,-0.94,-1.0,1,-1.8333333333333333,0.333333333333333,-2.333333333333333,0.1028999999999997,0.1299999980899999,0.1666666666666666,0.1666666666666667,-1.1666666666666667,0.0,0.0,-1.3333333333333337,0.1666666666666667,-2.52,-7.166666666666686,-2.5,-4.375816993464056,-0.2884,-0.3333333333333335,0.3,7.718810000000001,0.0,6.100000000000001,-0.3333333333333333,0.0,-0.3333333333333333,-37.41421015514808,3.166666666666666,-2.6,1.2921199999999995,1.333333333333333,0.0,-1.999121265377859,0.1999999999999999,3.9022099999999993,9.666666666666668,-0.5,4,-1.333333333333333,16.92029,-1.4978799999999994,14.3,-0.2999999999999998,-3.166666666666667,1.32221,-4.0,3,0.0,-2.8526633925198297,2,3,4,1,0,1
0.0,0,0.0,-0.0829999999999999,98.0,0.0,0.0,0,6.666666666666667,10.333333333333334,0.0,0.51,0.6666666600000001,-1.5,-0.3333333333333333,1.4166666666666667,0.0,0.0,0.4166666666666666,0.6666666666666666,0.0,-258.1666666666667,0.0,0.0,-0.5369999999999999,6.333333333333333,-0.3333333333333333,-2.83,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.333333333333333,4.7,9.833333333333334,-0.75,0.0,0.6666666666666666,7.619999999999996,3.916666666666668,-1.9166666666666667,-1,9.833333333333334,-0.620000000000001,4.7,3.916666666666668,9.833333333333334,6.333333333333333,7.619999999999996,0.0,-1,0.0,0.0,-1,-1,-1,0,0,1
159.0,-210,0.16,-0.0469999999999999,-98.0,0.162,1.0,-1,2.7142857142857144,4.857142857142857,0.3571428571428572,0.0379700000000001,-0.1244444423585185,-0.0714285714285714,-0.3214285714285714,2.821428571428572,0.0,0.0,1.9642857142857144,0.0,0.16,63.71428571428572,0.5,0.5351633986928022,-0.1781199999999998,6.821428571428571,-0.4666666666666668,6.116833,0.5,8.733333333333329,-0.2857142857142857,0.98,-0.2857142857142857,0.6828420310296224,3.8928571428571423,9.666666666666666,8.215516000000001,14.964285714285715,2.357142857142857,0.4998242530755732,0.0,18.498453,8.107142857142858,7.357142857142858,-4,15.035714285714285,12.355797,8.278516,16.4,20.8,7.035714285714286,18.414453,1.0,-3,0.6666666666666666,0.3705326785039631,0,-1,-1,0,0,1
0.0,-112,0.0,0.05,155.0,0.0,0.0,-1,-8.5,-11.125,-2.107142857142857,-0.8404209999999999,-0.6999999935000001,0.9285714285714286,-0.4821428571428572,-0.5714285714285715,0.0,0.0,-0.7321428571428572,-1.0,0.0,26.78571428571428,-2.0,0.0,-0.4687840000000001,-5.767857142857143,-0.1999999999999999,-67.27521689999999,0.0,-48.6,-0.3035714285714286,0.0,0.9821428571428568,0.0,-31.375,-13.6,-11.8811388,-4.553571428571429,1.1607142857142858,0.0,-0.8,-13.5470829,-34.39285714285714,6.017857142857143,-3,-5.678571428571429,-75.4619421,-18.4940388,-57.0,-15.8,-8.071428571428571,-20.5628829,0.0,-2,0.0,0.0,3,0,0,1,0,1
0.0,364,0.0,-0.3329999999999999,266.0,0.0,0.0,1,8.666666666666668,13.666666666666666,0.0,-0.4899999999999999,-0.33333333,-1.3333333333333337,-0.3333333333333333,0.9999999999999998,0.0,0.0,0.3333333333333332,-0.3333333333333333,0.0,-377.33333333333337,-0.3333333333333333,0.0,-0.4899999999999999,7.333333333333334,-0.3333333333333333,6.490000000000004,0.0,-4.666666666666661,-4.333333333333334,0.2799999999999999,-8.0,0.0,-4.666666666666661,2.666666666666668,12.459999999999996,11.333333333333334,-6.333333333333334,0.0,-0.3333333333333333,19.73,-6.666666666666664,-11.333333333333332,0,3.3333333333333397,9.619999999999994,11.279999999999996,-6.666666666666664,3.3333333333333397,2.666666666666668,16.45,0.0,-1,0.0,0.0,-2,-3,-3,-1,0,1
-482.0,308,-0.24,0.5,210.0,-1.7599999999999998,-2.2,-2,2.333333333333333,9.5,0.3333333333333333,0.7329999999999999,0.4166666636111112,0.1666666666666666,0.6666666666666667,-4.333333333333333,0.0,0.0,-3.0,0.5,-1.0219999999999998,-212.3333333333333,-0.6666666666666666,-1.7406535947712456,0.8230000000000002,-2.5,1.0,-2.9369999999999976,-0.6666666666666666,-0.75,0.0,-0.6859999999999998,1.0,-21.331368124118484,-3.3333333333333286,-0.75,-0.4719999999999995,-1.8333333333333288,-2.5,-0.9792970123022896,0.75,0.4039999999999999,5.5,-5.666666666666666,-2,-0.5,2.599,-0.8289999999999988,10.5,4.5,-3.166666666666666,1.247,-2.4,0,-0.5,-0.8821307140158581,2,-2,-4,1,-2,1
0.0,0,0.0,-0.167,98.0,0.0,0.0,0,5.25,8.5,0.0,0.657,0.7499999925000002,-1.4,-0.25,3.4,0.0,0.0,1.3,0.75,0.0,-209.25,0.0,0.0,-0.3660300000000001,5.95,-0.4499999999999999,-6.307,0.0,-4.800000000000001,0.0,0.0,0.0,0.0,0.4000000000000003,4.35,3.842,10.35,-0.6,0.0,0.75,2.8439999999999976,4.300000000000001,-1.55,-2,10.35,-8.087,2.642,-5.100000000000001,4.550000000000001,5.95,1.043999999999997,0.0,-2,0.0,0.0,0,-2,-2,-1,0,1
0.0,-154,0.0,0.286,0.0,0.0,0.0,-2,3.0,4.5,0.5,0.6429999999999999,0.3749999968750001,0.0,-0.0833333333333333,0.5,0.0,0.0,0.5833333333333334,0.5,0.0,208.16666666666669,0.5,0.0,0.2268789999999999,3.333333333333333,-0.25,3.0998,0.25,3.6999999999999993,6.75,0.147,9.75,0.0,10.666666666666666,8.85,2.1244,6.833333333333334,7.0,0.0,0.5,0.3849999999999998,18.583333333333336,12.083333333333334,-3,17.083333333333332,4.043900000000001,6.042399999999999,6.949999999999999,10.85,10.583333333333334,5.7730000000000015,0.0,-1,0.25,0.0,3,-1,-3,1,0,1
