event_date,event_name,fighter_red,fighter_blue,round,time,weight_class,win_method,winner,stance_red,stance_blue,knockdowns_red,knockdowns_blue,sig_attempts_red,sig_attempts_blue,sig_strikes_red,sig_strikes_blue,total_strikes_attempts_red,total_strikes_attempts_blue,total_strikes_red,total_strikes_blue,sub_attempts_red,sub_attempts_blue,takedowns_red,takedowns_blue,takedown_attempts_red,takedown_attempts_blue,control_time_red,control_time_blue,head_strikes_red,head_strikes_blue,head_attempts_red,head_attempts_blue,body_strikes_red,body_strikes_blue,body_attempts_red,body_attempts_blue,leg_strikes_red,leg_strikes_blue,leg_attempts_red,leg_attempts_blue,distance_red,distance_blue,distance_attempts_red,distance_attempts_blue,clinch_strikes_red,clinch_strikes_blue,clinch_attempts_red,clinch_attempts_blue,ground_strikes_red,ground_strikes_blue,ground_attempts_red,ground_attempts_blue
1994-09-09,UFC 3: The American Dream,harold howard,roland payne,1,46,Open Weight,KO/TKO,1,Orthodox,Orthodox,1,0,12,4,9,3,15,4,12,3,0,0,0,1,1,2,0,0,9,0,12,0,0,2,0,2,0,1,0,2,1,2,4,2,4,1,4,2,4,0,4,0
1994-09-09,UFC 3: The American Dream,keith hackney,emmanuel yarborough,1,119,Open Weight,KO/TKO,1,Sideways,Open Stance,1,0,50,5,34,1,52,9,36,4,0,0,0,0,0,1,0,0,29,1,45,5,0,0,0,0,5,0,5,0,6,0,8,2,2,0,3,0,26,1,39,3
1994-09-09,UFC 3: The American Dream,ken shamrock,christophe leninger,1,289,Open Weight,KO/TKO,1,Orthodox,Southpaw,0,0,9,2,8,1,20,23,16,21,0,0,1,0,1,0,0,0,5,1,6,2,3,0,3,0,0,0,0,0,0,1,1,2,0,0,0,0,8,0,8,0
1994-12-16,UFC 4: Revenge of the Warriors,royce gracie,ron van clief,1,229,Open Weight,Submission,1,Southpaw,Orthodox,0,0,11,2,7,0,31,2,27,0,1,0,1,0,1,0,0,0,5,0,8,2,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,10,2
1994-12-16,UFC 4: Revenge of the Warriors,dan severn,marcus bossett,1,52,Open Weight,Submission,1,Southpaw,Orthodox,0,0,0,2,0,1,0,3,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
1994-12-16,UFC 4: Revenge of the Warriors,steve jennum,melton bowen,1,287,Open Weight,Submission,1,Orthodox,Orthodox,0,0,40,4,13,1,70,59,29,48,1,0,2,0,3,0,0,0,13,1,36,4,0,0,2,0,0,0,2,0,0,0,6,3,0,1,0,1,13,0,34,0
1994-12-16,UFC 4: Revenge of the Warriors,royce gracie,keith hackney,1,332,Open Weight,Submission,1,Southpaw,Sideways,0,0,23,13,11,4,58,16,45,7,3,0,0,0,2,0,0,0,7,3,15,12,3,1,5,1,1,0,3,0,2,1,10,3,9,2,13,4,0,1,0,6
1994-12-16,UFC 4: Revenge of the Warriors,dan severn,anthony macias,1,105,Open Weight,Submission,1,Southpaw,Switch,0,0,0,9,0,8,0,14,0,12,1,0,2,0,5,0,0,0,0,4,0,4,0,2,0,2,0,2,0,3,0,2,0,3,0,3,0,3,0,3,0,3
1994-12-16,UFC 4: Revenge of the Warriors,keith hackney,joe son,1,164,Open Weight,Submission,1,Sideways,Orthodox,0,0,14,0,8,0,16,4,10,4,1,1,0,1,0,1,0,0,1,0,5,0,0,0,1,0,7,0,8,0,2,0,7,0,0,0,0,0,6,0,7,0
1994-12-16,UFC 4: Revenge of the Warriors,royce gracie,dan severn,1,949,UFC 4 Tournament Title,Submission,1,Southpaw,Southpaw,0,0,4,7,0,4,84,43,80,27,3,0,0,1,0,1,0,0,0,4,1,7,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,4,0,7
1994-12-16,UFC 4: Revenge of the Warriors,guy mezger,jason fairn,1,133,Open Weight,KO/TKO,1,Orthodox,Orthodox,0,1,30,12,19,9,34,15,23,12,0,0,1,0,1,0,0,0,17,5,28,8,1,2,1,2,1,2,1,2,0,1,1,4,4,4,5,4,15,4,24,4
1995-04-07,UFC 5: The Return of the Beast,oleg taktarov,ernie verdicia,1,143,Open Weight,Submission,1,Orthodox,Orthodox,0,0,0,5,0,2,0,11,0,7,1,0,0,0,1,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,3
1995-04-07,UFC 5: The Return of the Beast,guy mezger,john dowdy,1,122,Open Weight,KO/TKO,1,Orthodox,Orthodox,1,0,17,4,12,0,20,7,15,2,0,0,0,0,0,0,0,0,10,0,15,0,1,0,1,2,1,0,1,2,2,0,5,4,2,0,2,0,8,0,10,0
1995-04-07,UFC 5: The Return of the Beast,dave beneteau,asbel cancio,1,21,Open Weight,KO/TKO,1,Orthodox,Orthodox,0,0,18,0,12,0,18,0,12,0,0,0,1,0,1,0,0,0,12,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,18,0
1995-04-07,UFC 5: The Return of the Beast,dave beneteau,todd medina,1,132,Open Weight,KO/TKO,1,Orthodox,Southpaw,0,0,13,0,8,0,28,0,22,0,0,0,1,0,1,0,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,0
1995-04-07,UFC 5: The Return of the Beast,dan severn,dave beneteau,1,181,UFC 5 Tournament Title,Submission,1,Southpaw,Orthodox,0,0,3,6,2,2,13,10,11,5,1,0,1,0,1,0,0,0,1,2,1,6,0,0,1,0,1,0,1,0,0,0,0,1,1,2,2,5,1,0,1,0
1995-04-07,UFC 5: The Return of the Beast,dan severn,oleg taktarov,1,261,Open Weight,TKO - Doctor's Stoppage,1,Southpaw,Orthodox,0,0,17,0,9,0,64,0,38,0,0,0,1,0,1,0,0,0,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,17,0
1995-04-07,UFC 5: The Return of the Beast,dan severn,joe charles,1,98,Open Weight,Submission,1,Southpaw,Southpaw,0,0,4,1,2,1,19,2,12,1,1,0,1,0,1,0,0,0,2,0,4,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,4,0
