days_since_debut_diff,losses_diff,wins_diff,head_target_diff,sig_strikes_ground_diff,sig_strikes_landed_diff,knockdown_avg_diff,takedowns_avg_diff,sig_strikes_standing_diff,sig_strikes_attempted_diff,takedowns_attempted_diff,takedown_defense_diff,submission_avg_diff,days_since_win_diff,leg_target_diff,winner
1610,-5,3,-144,-35,-238,-0.82,1.3800000000000003,-147,-607,-4,0,-0.82,-643.0,-59,1
0,-2,5,-30,-22,-72,0.0,0.53,-53,-155,-2,75,0.71,0.0,-28,1
-287,4,-1,289,-26,534,-0.96,-5.87,524,1268,3,36,-4.82,182.0,106,1
4490,-1,-2,47,-27,13,0.61,0.07,56,67,5,10,-0.19,175.0,-41,1
-381,3,2,-322,-39,-276,-0.08,-2.09,-271,-800,-68,-9,-0.43,-381.0,33,1
-85,9,-6,-231,-219,-9,0.13,-1.0199999999999998,214,65,-46,7,-0.4399999999999999,-591.0,85,1
-1137,-13,-2,-308,85,-711,-0.06,1.54,-822,-2198,45,1,0.7799999999999999,-55.0,-97,0
-846,-7,-12,-322,-77,-556,0.3299999999999999,0.3999999999999999,-457,-1143,-12,-26,-0.15,-202.0,-130,1
-727,9,10,37,-126,70,-0.09,-3.08,147,251,-116,-4,-0.55,-252.0,23,1
-196,0,2,499,147,683,0.36,1.88,428,1361,36,27,0.18,0.0,73,0
-833,-4,-7,-290,-12,-400,0.0799999999999999,-0.12,-367,-878,-7,-14,-0.47,-518.0,-68,1
-385,-1,-4,47,2,66,0.75,-2.27,62,86,-16,63,0.0,-112.0,6,0
-489,1,-2,45,-36,62,0.18,-0.74,18,145,-6,2,-0.14,-21.0,16,1
-315,-4,-1,-161,-45,-402,0.27,2.26,-208,-814,-28,21,-0.12,-125.0,-129,1
-99,-1,10,413,93,565,0.55,-1.65,509,996,-10,32,0.1999999999999999,-217.0,126,0
-399,-1,-7,-264,-160,-446,0.64,-3.01,-158,-977,-97,15,0.31,-371.0,-48,1
-476,-2,-4,-119,-95,-181,0.28,-3.06,-32,-241,-82,-9,-0.49,-175.0,-3,1
42,-6,-14,-721,-145,-1349,-0.56,1.26,-1066,-2729,-17,-23,-0.83,0.0,-338,1
661,5,14,377,105,599,-0.29,-0.07,354,1272,39,-19,0.51,-35.0,34,0
598,-4,-1,64,7,97,0.2,0.26,56,253,7,4,0.2,449.0,-4,1
546,-5,-10,-853,-271,-1163,0.35,-1.27,-660,-2533,-136,3,1.16,147.0,-112,1
301,0,-3,-110,-44,-221,0.15,0.07,-176,-809,-18,24,-0.29,-14.0,-16,0
272,1,8,115,33,130,-0.32,0.77,-11,278,26,-6,0.8600000000000001,-35.0,-50,0
552,3,8,-1839,9,-2762,0.11,1.99,-2696,-5986,84,-27,2.33,-42.0,-266,1
161,0,1,105,16,87,0.23,0.56,76,311,-10,24,-0.03,29.0,-8,1
-119,-2,-2,5,32,-85,-0.12,-1.0099999999999998,-115,-281,-11,-41,0.62,119.0,-29,0
-702,-6,-10,-150,-50,-223,0.0,-1.3200000000000005,-123,-427,-37,-27,-1.71,0.0,-22,1
-437,-1,0,-213,-21,-325,0.5,-1.65,-248,-645,-66,-21,0.1999999999999999,-63.0,-36,1
-302,9,-5,-172,-138,-549,0.5499999999999999,-2.64,-95,-540,-111,16,-0.52,-28.0,-200,1
-1936,0,-5,-136,-95,-92,-1.13,-1.9,-34,-267,-17,-6,-0.28,455.0,21,1
-20,-1,-3,-119,-87,-180,-0.16,1.04,-21,-355,-7,19,0.03,-21.0,-11,1
-1932,-10,-5,-139,69,-351,-0.0799999999999999,-0.45,-358,-1056,-28,-10,0.22,-140.0,-47,1
-335,2,20,263,76,588,0.24,-0.4499999999999999,479,1490,1,0,0.06,126.0,12,0
308,-1,15,-202,-31,-366,-0.39,0.61,-268,-810,-3,-69,-0.78,0.0,-52,1
811,2,-6,-199,-6,-208,0.07,-0.4099999999999999,-129,-415,-19,-10,0.03,38.0,26,1
-483,-2,-5,-166,-2,-228,-0.29,0.5000000000000001,-219,-678,-12,-83,0.0,-98.0,-32,1
-91,5,-24,-387,-304,-394,0.2799999999999999,-1.05,49,-722,-30,4,-1.0,-434.0,-14,0
434,5,-4,-42,-9,-104,-0.53,-1.23,-52,-167,-19,17,0.39,42.0,-14,1
-2627,1,-10,81,34,161,0.34,0.7100000000000001,115,326,6,16,-0.6599999999999999,133.0,37,0
-399,1,-6,-52,2,-78,0.0,-1.83,-47,-128,-24,7,1.39,0.0,-9,1
-1168,-4,-8,-131,1,-113,1.33,-0.8600000000000001,-104,-345,-4,-28,-0.12,0.0,25,0
762,3,1,26,13,44,0.36,1.33,26,18,13,4,-0.27,-210.0,9,0
-1028,-3,1,244,-42,98,0.07,-0.2600000000000001,274,548,-11,10,-0.48,-210.0,-8,0
-42,-8,-19,-469,-247,-588,-0.62,2.73,-228,-1094,0,47,0.0,35.0,-22,1
-567,0,-1,135,48,185,0.4,0.8400000000000001,106,317,17,1,0.6,0.0,9,0
-899,-3,-14,-436,-8,-838,-0.0999999999999999,1.1,-757,-2577,-49,3,-0.3299999999999999,476.0,-200,1
-819,-6,-4,-108,-77,-104,-0.12,-1.64,13,-181,-33,12,-0.15,196.0,2,0
140,7,3,163,-68,147,0.25,0.02,182,229,-2,19,-0.31,35.0,-23,1
918,5,-4,-380,-119,-465,0.4599999999999999,-0.3,-147,-465,-30,4,-0.0199999999999999,441.0,-27,1
-860,-8,-1,260,103,325,-0.27,2.37,144,437,64,9,0.72,-90.0,-30,1
182,-3,0,-175,-23,-384,-0.1399999999999999,-0.31,-295,-654,-4,16,-0.26,284.0,-115,0
0,7,3,528,-19,1108,-0.2,-0.6799999999999999,707,1800,9,12,-0.25,0.0,86,1
0,-4,-9,-203,-78,-332,-0.12,-0.75,-223,-664,-9,4,-0.62,0.0,-95,1
0,-1,-5,-187,-5,-371,0.3,-0.4299999999999999,-182,-910,-30,11,-0.08,-147.0,-56,0
246,1,-8,-87,0,-168,0.0,1.19,-163,-633,-8,11,0.5,469.0,-41,1
63,-8,-8,-245,-27,-274,0.97,2.42,-226,-654,-12,2,0.3699999999999999,-273.0,-21,1
301,2,10,321,103,435,-0.75,0.8900000000000001,206,1061,37,17,-0.6000000000000001,385.0,35,0
-169,-3,-9,-48,-55,-70,0.0,-1.65,0,-115,-9,5,-0.86,-316.0,-4,1
-280,3,5,116,90,175,0.0,-1.67,53,322,12,-25,0.86,0.0,20,0
-315,-2,-5,71,23,6,1.07,-2.46,-2,-38,-44,-12,0.6600000000000001,14.0,-76,0
185,7,5,425,170,625,-0.07,-1.19,377,1312,28,-39,0.47,7.0,32,0
-511,-5,3,-425,-36,-806,-0.0899999999999999,0.4,-767,-1871,-21,11,-0.37,-413.0,-271,0
-182,-2,-4,-11,-19,-18,-0.64,-1.18,15,-21,5,23,-0.32,-301.0,4,1
-637,-2,-23,-452,-225,-509,-0.33,2.3800000000000003,-276,-1042,-27,-31,-0.8099999999999999,7.0,21,1
0,3,15,196,41,378,-0.09,1.22,335,698,22,65,0.85,0.0,53,0
-34,3,-6,-195,12,-312,0.4599999999999999,0.3099999999999999,-306,-664,0,-14,0.48,35.0,-69,1
563,-8,-7,-206,-74,-348,-0.43,0.1999999999999997,-202,-619,-59,7,-0.1499999999999999,661.0,-70,1
-1359,-4,-8,105,131,4,-0.02,4.449999999999999,-60,340,99,21,-0.55,-42.0,51,0
-346,3,10,74,8,166,0.17,-1.1900000000000002,163,497,-19,35,-1.05,-231.0,39,0
174,-7,-2,-343,-116,-538,0.6299999999999999,-1.4500000000000002,-372,-1126,-104,35,-0.29,91.0,-107,0
-609,-4,6,-380,8,-409,0.1099999999999999,0.3099999999999999,-412,-985,9,3,0.6199999999999999,-315.0,11,1
-735,5,3,285,22,675,-0.84,-5.39,610,1728,31,26,-4.760000000000001,17.0,168,0
-57,2,8,27,1,39,0.2,0.0,19,354,13,5,-1.0,0.0,-23,0
524,0,-7,88,7,96,-0.04,0.03,85,258,6,9,-0.5800000000000001,56.0,-2,1
-504,-2,-2,-73,-32,-120,-0.51,6.11,-69,-256,4,-79,-0.25,-273.0,-15,1
-1744,-10,-19,-173,15,-363,-0.24,1.27,-396,-751,16,11,-1.54,-1043.0,-106,0
-232,0,-5,-246,-53,-264,0.0,-1.86,-184,-683,-35,-15,-0.31,-273.0,-23,1
119,-2,9,656,11,801,-0.0599999999999999,0.1899999999999999,730,2016,24,18,-0.15,140.0,118,0
371,-4,-5,-34,-66,-129,0.13,0.0,-55,-122,15,11,-0.25,343.0,-62,1
-28,2,1,-557,-164,-755,0.42,-0.4399999999999999,-530,-1725,-56,-35,-0.25,-372.0,-76,1
-798,-3,-7,235,58,521,0.1999999999999999,0.02,343,1004,18,-11,-0.4299999999999999,-14.0,96,0
461,0,13,120,67,188,0.18,2.61,98,276,115,-48,0.61,342.0,38,0
0,4,1,148,26,231,1.71,-7.32,191,635,-3,47,-2.44,0.0,29,0
0,2,14,341,126,572,0.0,4.2,413,1356,92,17,0.3,0.0,99,0
-1638,-7,-6,-141,-64,-191,-0.5,0.4499999999999999,-63,-468,0,-1,-0.37,-14.0,-46,0
-1043,-2,5,191,-76,227,-0.2299999999999999,-2.89,242,363,-28,8,0.1,-511.0,13,1
0,-1,1,-13,-3,-30,0.0,0.2099999999999999,-22,-34,2,-7,1.0,0.0,-15,1
-147,-5,-10,54,31,94,0.0,7.1,20,117,33,42,-3.82,-147.0,8,0
391,-1,1,274,24,224,-0.07,1.95,161,772,77,14,-0.62,231.0,-28,0
-50,-4,-9,-209,-255,-225,0.3399999999999999,-1.07,188,-219,-86,5,-0.16,281.0,46,1
903,4,-1,-58,4,-89,-0.67,0.02,-89,151,10,22,0.26,136.0,-17,1
-126,2,2,42,-21,70,-0.45,-1.6800000000000002,120,231,-20,-43,0.0,0.0,33,1
-6276,1,-13,-314,-183,-408,-0.3,1.14,-142,-796,-72,-43,-0.6,-637.0,-53,1
-442,12,12,551,4,589,0.25,-1.02,542,1123,-55,9,-0.47,-148.0,-13,1
-210,-3,1,-13,-11,1,0.35,2.18,12,-55,20,27,0.0,56.0,0,0
-1519,7,1,417,-34,643,-0.19,-0.99,593,1519,4,6,0.12,-1556.0,88,1
-4225,-7,-1,-114,-16,-128,-0.74,1.5,-104,-317,6,-25,0.17,-532.0,-2,1
-1869,-5,-2,-281,-101,-335,0.7100000000000001,-0.4399999999999999,-220,-786,-10,-43,-1.0,28.0,-40,0
1110,-5,-10,-710,-91,-1088,-0.3999999999999999,1.5600000000000005,-894,-2241,8,-11,0.28,-84.0,-37,1
231,4,1,-121,-42,-207,-0.4,1.0099999999999998,-127,-279,0,-42,-0.6,84.0,-42,1
-259,-7,-22,-732,-32,-1028,-0.73,0.95,-989,-2460,-30,9,0.0,-291.0,-173,1
615,0,-2,92,59,149,0.2,-2.13,76,266,13,-46,-1.79,-18.0,24,0
910,8,4,-499,-223,-1033,0.43,-2.29,-632,-1845,-152,16,-0.2599999999999999,343.0,-147,1
392,1,-7,-59,-55,-112,-0.08,-1.38,-4,-563,-32,9,0.18,56.0,-37,0
0,-1,-3,-163,-33,-240,-0.35,2.93,-162,-707,-2,-8,-0.24,0.0,-18,1
-1323,-12,-19,-471,-88,-904,-0.13,1.5499999999999998,-687,-2115,-14,19,-0.73,112.0,-258,0
1890,2,-8,-216,-26,-194,-0.4,-1.14,-188,-436,-20,-55,0.66,-224.0,11,1
20,-2,-7,-536,4,-699,-0.16,-0.2199999999999999,-736,-1831,-31,-29,0.59,28.0,-50,1
255,8,5,176,154,244,0.88,-0.39,105,320,-4,7,0.06,-105.0,75,0
0,3,4,-178,-29,-357,0.0,1.79,-233,-601,8,-66,0.0,0.0,-83,1
-196,-1,2,136,31,-173,-0.49,-0.06,-170,-506,-2,-7,0.8,231.0,-104,0
0,-13,-5,-135,44,-244,0.44,-0.17,-274,-655,-1,-52,2.22,0.0,-94,0
-706,-4,-15,-215,-219,-236,0.18,-2.32,31,-275,-108,-17,0.5799999999999998,-174.0,-2,1
1298,4,4,84,29,45,0.13,0.9500000000000002,-56,47,40,12,0.0499999999999999,483.0,38,1
0,-9,-21,-547,-51,-840,-0.21,1.22,-660,-1716,-27,-29,-0.73,0.0,-79,1
-350,-1,-2,-127,-37,-172,-0.0999999999999999,-0.12,-124,-442,1,-14,0.17,-327.0,-3,0
-1463,-6,-5,-883,-271,-1347,0.64,1.84,-977,-3541,-151,34,-0.0299999999999999,42.0,-160,1
-84,-3,2,495,81,614,-0.23,2.42,497,1847,138,6,-0.69,70.0,56,1
-310,-2,0,-104,26,-14,0.54,-2.5700000000000003,-60,-152,-80,-7,0.19,-287.0,26,0
1714,12,1,-1614,25,-2379,0.32,0.8700000000000001,-2284,-4477,63,-21,0.07,43.0,-94,1
-1245,-4,-22,-478,-205,-473,-0.1299999999999999,0.1999999999999999,-303,-1339,-78,4,-0.73,-245.0,74,1
-1806,-5,-9,-370,-166,-447,0.0499999999999999,-0.4900000000000002,-223,-1219,-232,6,0.01,21.0,-16,1
-239,1,0,446,212,507,-0.31,2.3000000000000003,263,1278,79,-12,0.51,-116.0,-28,1
-867,-1,-3,-288,11,-740,0.61,0.33,-746,-1082,2,-12,0.65,134.0,-273,0
-1113,-1,3,-98,13,-128,0.3699999999999999,3.31,-135,-448,16,-47,-1.4200000000000002,-14.0,-20,0
-365,-3,-9,-580,-37,-1070,-0.06,-0.2,-895,-2080,-61,20,-0.06,-182.0,-252,1
-531,-2,-13,-259,-24,-465,0.09,-0.3499999999999996,-338,-809,-88,20,-1.05,-343.0,-36,1
-1385,0,8,3,154,-3,0.09,2.24,32,-275,91,-5,0.31,-612.0,-1,0
-812,0,4,-11,-124,224,0.6100000000000001,-0.79,479,521,-82,19,0.59,-70.0,157,1
2133,0,2,78,54,77,-0.73,1.1899999999999995,26,169,15,0,2.1100000000000003,2318.0,3,0
0,8,17,653,66,1075,0.69,0.97,949,2064,26,37,0.69,0.0,280,0
-2484,-8,-8,-336,-47,-470,0.02,1.6599999999999997,-374,-1481,-5,41,-1.47,-86.0,-45,0
1261,-6,-3,461,102,153,-0.38,0.4700000000000001,-213,-139,49,-39,1.25,449.0,-83,0
-671,-7,-18,-300,-97,-566,-0.05,-0.0699999999999998,-312,-849,-70,-6,-2.36,252.0,-67,1
-218,1,-7,-62,4,-97,-1.22,2.33,-92,-252,33,-22,0.72,0.0,-21,1
-372,-3,5,315,-81,648,0.0,-0.81,620,1507,-37,22,-0.01,-238.0,75,0
245,1,1,-410,-272,-550,-0.21,-1.61,-158,-1130,-71,-26,0.27,-6.0,58,1
77,-4,-7,-90,29,-90,0.0,1.5499999999999998,-120,-175,12,-26,-1.71,567.0,1,0
615,9,13,45,-55,166,0.3,-1.2199999999999998,231,696,15,-11,-0.1099999999999999,-147.0,38,0
-965,-7,-8,339,-10,454,-0.1199999999999999,-2.14,441,1327,21,-25,0.5000000000000001,112.0,47,0
1761,2,4,23,-4,23,0.55,-1.02,40,134,-9,36,0.55,0.0,4,1
-769,-1,-1,-81,-35,-315,0.47,-0.07,-161,-627,-2,-4,-0.09,-98.0,-181,0
420,3,4,101,13,73,-0.14,-0.63,65,225,-12,24,0.35,0.0,-14,1
-931,-4,-3,-160,-42,-235,0.2699999999999999,-1.4700000000000002,-131,-602,-31,10,0.2699999999999999,-560.0,-18,1
-1532,-5,-14,-1420,-157,-1739,-0.14,-0.1899999999999999,-1310,-3315,-72,0,-0.52,-42.0,-168,1
-2024,2,2,894,-45,976,-0.0999999999999999,-1.2,946,2617,3,-19,-0.43,-49.0,-23,0
-1273,9,8,-115,-6,-125,-0.8,0.3499999999999998,-111,-324,1,12,-0.59,-399.0,-13,1
-562,-6,-16,-995,-62,-1303,0.2,-0.17,-1160,-2737,-37,8,-0.36,-561.0,-78,1
-471,-3,-6,-135,-33,-277,0.14,-0.53,-249,-645,-5,25,-1.0,-364.0,-98,1
-1366,-3,1,61,80,50,0.6099999999999999,-1.14,-13,-37,-20,9,-0.1,-484.0,-10,0
-897,-2,-4,-75,12,-187,0.0,-2.22,-160,-281,-70,-2,0.0,-232.0,-92,1
-506,1,-1,-33,-22,-76,0.5800000000000001,-2.6,-20,-56,-26,-22,-1.12,-225.0,-22,1
-1210,-4,5,-220,-12,-352,0.12,2.31,-366,-567,44,33,-0.5900000000000001,-189.0,-81,0
196,-2,-9,-13,-48,-87,0.87,-1.21,-13,-339,-14,-20,0.4600000000000001,92.0,-3,1
854,2,-1,-233,-53,-382,0.35,1.75,-281,-709,29,-5,0.01,91.0,-105,1
-1100,-7,6,28,111,-105,-0.0699999999999999,0.24,-212,-536,8,-15,0.51,13.0,-96,0
155,-1,6,47,-107,62,-0.5599999999999999,1.2599999999999998,194,807,58,6,-0.7699999999999999,301.0,-41,0
-73,1,7,292,80,390,0.0799999999999999,-1.5,317,1148,-38,-13,0.0699999999999999,358.0,18,0
-728,-1,-3,-340,-41,-424,-0.16,-0.71,-351,-1224,-32,2,-1.02,-462.0,-65,1
-484,2,12,546,70,849,-0.45,0.35,655,1719,18,13,0.57,-342.0,131,0
-259,-6,-13,-188,-39,-277,0.0,1.37,-202,-711,-38,47,-1.2,259.0,-12,0
49,2,4,-148,-124,-242,-0.17,2.140000000000001,-18,-232,22,-6,0.52,287.0,28,0
-1434,-9,-11,-901,-83,-1441,-0.21,-0.07,-1247,-2797,-16,4,-0.67,-399.0,-178,1
-1421,-5,-12,-18,-122,69,-0.0899999999999999,-0.5599999999999999,182,311,2,33,-0.73,-98.0,103,0
-942,-4,-12,-275,-84,-484,-0.1499999999999999,-1.7599999999999998,-341,-1049,-87,-50,-0.0999999999999999,-53.0,-155,1
-126,3,7,-48,-42,-59,0.3,0.2899999999999998,-7,-218,2,34,-0.5399999999999999,99.0,-4,0
-550,-1,0,168,140,196,-1.15,0.94,64,532,71,4,-0.2,224.0,14,1
844,8,15,-166,33,-525,0.72,1.52,-464,-903,26,1,0.2299999999999999,840.0,-254,1
294,10,7,660,38,924,0.0,-1.6800000000000002,735,1969,-17,8,-0.3299999999999999,362.0,158,0
-1001,0,-9,-499,-68,-957,-0.36,2.3,-781,-2864,-16,-5,-0.3,231.0,-190,1
-230,0,-2,-37,-14,-37,0.3,-0.5800000000000001,-9,-55,-13,47,-1.48,-231.0,0,0
0,-5,-6,-210,-26,-271,-0.29,-0.4399999999999999,-219,-572,-22,51,-1.58,0.0,-16,1
35,0,-2,48,-13,96,0.15,-0.4700000000000002,132,190,-54,36,-0.5900000000000001,77.0,41,0
91,-11,-15,-443,-147,-729,0.9000000000000001,-0.4900000000000001,-594,-1584,-56,-3,-0.35,525.0,-66,1
601,-9,-1,62,19,26,0.52,0.53,-94,49,13,19,0.52,658.0,-103,0
-1344,-8,-15,23,-108,-24,0.0799999999999999,-1.66,125,360,-56,-1,-1.54,-203.0,-39,1
-1457,-11,-9,-240,32,-264,-0.61,0.6900000000000002,-254,-845,-31,1,0.01,-1064.0,-14,1
-659,-7,-9,-485,-283,-597,-0.62,-0.56,-202,-1117,-32,-53,0.0,-126.0,-16,1
-168,-5,-8,-86,-47,-120,0.53,-4.15,-26,-189,-43,-27,-1.18,-167.0,0,1
-784,1,-1,225,-40,351,0.0299999999999999,-3.6,539,747,-133,-1,-0.33,-120.0,-96,0
-280,-1,5,72,-80,5,0.0499999999999999,-1.61,116,192,4,-34,0.14,-316.0,37,0
-679,-3,-16,-529,0,-645,-0.26,0.4000000000000001,-613,-1359,-46,22,-0.87,-29.0,-42,1
-215,5,7,38,24,121,-0.5,0.6699999999999999,69,173,3,10,-1.0,0.0,46,0
28,-2,-3,-137,-42,-100,0.0,0.3299999999999999,-50,-2,20,0,-0.79,-414.0,14,0
1963,2,-2,-375,-109,-552,-0.54,-0.0900000000000003,-365,-1162,-78,-3,0.84,161.0,-89,1
-1505,-5,-14,-696,-40,-1417,-0.38,1.1900000000000002,-1329,-3162,-23,-10,-0.59,-168.0,-367,1
0,2,14,1576,81,1985,-0.14,-2.99,1859,4488,-27,9,0.03,-487.0,105,0
-555,-5,-13,-568,-104,-744,-0.07,-1.09,-531,-1996,-62,-23,-0.21,0.0,-95,1
-762,1,17,-138,29,-296,-0.17,-0.2600000000000002,-233,-604,13,-19,0.05,-636.0,-98,1
-415,-5,-8,-286,-24,-379,-0.5900000000000001,0.82,-343,-922,-24,-4,0.0,-225.0,-51,1
0,-1,2,-21,51,-55,0.09,1.97,-83,-131,44,-17,0.09,717.0,-10,0
-224,2,4,103,7,130,-0.46,-1.08,111,430,-7,-17,-1.23,0.0,17,1
-889,-7,-12,-98,-22,-232,0.2299999999999999,-0.05,-136,-381,-9,32,-0.14,-889.0,-62,1
916,8,1,-389,-25,-490,-0.25,0.13,-449,-1177,7,-57,1.0799999999999998,70.0,-4,1
0,4,6,-131,-7,-286,-0.71,-0.94,-258,-658,-8,-78,0.0,0.0,-99,1
-153,7,15,132,72,201,-0.5,1.4600000000000002,106,939,65,-10,-0.1399999999999999,455.0,24,0
77,0,-3,-58,-4,-154,-0.89,2.2,-115,-287,6,-48,-0.67,315.0,-44,1
-349,3,6,375,102,490,0.21,-0.53,293,809,-2,10,0.6599999999999999,203.0,122,1
-769,7,8,98,38,94,-0.34,3.04,60,186,65,-20,0.13,-259.0,-11,0
-963,-2,-4,74,3,188,-0.18,1.09,185,342,4,17,-1.41,-126.0,85,0
-1490,-9,-10,-709,-237,-964,0.18,-1.13,-539,-2541,-159,-17,1.2,-112.0,-45,1
850,3,0,7,-32,8,0.0699999999999999,0.1,11,-14,14,-23,0.0,35.0,-8,1
4767,-5,-4,-69,-60,-24,0.0,1.04,33,-106,34,-50,-0.19,399.0,44,1
-454,-5,0,-460,-10,-723,0.08,1.66,-673,-1646,29,17,0.3,-91.0,-178,0
2031,1,-4,-354,-135,-477,0.37,-2.43,-303,-983,-56,-25,1.38,105.0,-36,1
502,3,13,128,66,145,-0.19,-0.04,51,370,7,13,-0.35,574.0,-6,0
923,3,5,92,78,-67,-0.0699999999999999,1.1,-177,-313,70,-20,1.16,112.0,-118,0
2114,7,0,853,87,1095,-1.57,0.38,704,2542,76,-25,1.16,-161.0,73,0
76,-7,-20,-419,-20,-597,1.12,-1.28,-459,-1175,-21,-31,-0.73,-85.0,-12,0
-867,-1,2,35,-61,84,-0.54,-0.1099999999999998,101,141,27,-6,-0.3899999999999999,-133.0,39,1
-893,8,2,32,-24,33,0.32,-2.33,68,114,-58,10,0.42,-777.0,16,1
-1761,-12,-8,-349,6,-704,0.22,0.31,-566,-1808,-31,4,0.0,133.0,-130,1
119,-9,-18,-657,-63,-992,-0.6,0.72,-866,-2021,-14,-14,-0.33,434.0,-163,1
-1953,-7,-6,-87,-48,-144,0.42,-1.83,-77,-286,-26,41,-0.25,-1127.0,-31,0
3966,-5,6,-312,-7,-430,-0.48,3.0,-325,-1044,27,12,0.5,-612.0,-55,1
-217,5,-5,670,252,944,-0.5900000000000001,0.4300000000000001,500,2032,116,-23,-0.2199999999999999,-616.0,57,0
-43,1,-2,-291,-53,-327,0.0,1.0599999999999998,-227,-847,-30,-6,1.88,140.0,-21,1
-84,-1,0,-421,-126,-539,0.08,0.1899999999999999,-367,-1133,-39,5,-0.42,7.0,-39,1
0,-1,2,-161,-6,-180,-0.23,-0.7899999999999999,-148,-384,-12,-28,0.5,0.0,19,0
-365,-4,-6,-398,-57,-618,0.0,0.15,-505,-1882,-28,-3,1.1,-365.0,-45,1
-463,-4,-9,-711,-52,-1153,-0.4,3.95,-970,-2273,-10,36,0.88,0.0,-206,1
365,4,0,88,13,137,0.0,2.64,116,375,37,44,0.61,0.0,21,0
-113,2,2,278,198,406,-1.05,4.62,159,695,123,-40,-0.31,-113.0,97,1
639,1,2,-143,-19,-246,0.5499999999999999,-0.36,-63,-317,-18,8,0.54,-56.0,-16,0
-372,5,15,406,162,607,-0.12,0.2999999999999998,499,1208,43,6,0.12,-372.0,65,1
567,-3,-4,-111,15,-313,0.02,1.83,-225,-473,20,-3,-0.2,315.0,-97,1
-1239,-5,8,57,-89,-281,0.58,-1.1800000000000002,-129,-1095,-112,0,-0.45,-834.0,-163,0
592,1,-4,-204,-52,-421,-0.41,0.9299999999999996,-307,-682,5,-14,0.15,-124.0,-115,0
-225,-8,-7,-957,-135,-1597,-0.39,1.49,-1288,-3008,-1,13,0.1099999999999999,-364.0,-324,1
6,4,5,309,97,529,0.05,0.4399999999999999,161,911,36,-23,0.62,-98.0,12,0
0,0,0,-63,-58,185,-0.26,-0.95,166,58,10,-1,-0.31,-2.0,185,1
-1548,4,-16,-536,-355,-616,-0.17,-4.970000000000001,-259,-1245,-125,-38,-0.1,-728.0,-28,1
1140,4,8,120,33,219,-0.75,1.75,183,531,46,47,0.48,658.0,46,0
203,-6,-14,-559,-55,-890,-0.43,4.01,-703,-1889,-5,-6,-0.1699999999999999,202.0,-153,0
412,-4,-11,-66,-55,-188,-0.28,-0.3799999999999999,-119,-178,-10,1,-0.51,175.0,-97,1
823,0,-6,-636,44,-779,-0.2,1.82,-805,-1951,63,-5,0.5,-77.0,-83,1
-1407,2,-11,-162,-64,-513,0.21,-1.51,-199,-709,-69,10,-0.37,-77.0,-181,1
138,1,-4,-113,-22,-240,0.28,2.71,-197,-688,12,18,-0.24,12.0,-58,1
-322,-2,-9,-558,-13,-680,-0.07,0.19,-660,-1870,-8,-14,-0.0999999999999999,41.0,-78,1
196,2,0,74,-21,597,0.31,-0.1599999999999999,629,1502,-2,13,-0.98,-231.0,240,0
139,-3,-11,-279,-110,-306,0.0,-1.5599999999999998,-198,-825,-100,24,-0.27,-169.0,-5,1
391,7,3,146,-73,-29,0.01,1.46,50,430,47,11,-0.4,-49.0,-125,1
-1471,17,-1,-129,-107,-566,0.21,-0.7999999999999998,-298,-567,-32,-28,0.0399999999999999,-399.0,-328,1
-875,-7,-1,-182,-77,-270,-1.3,3.68,-172,-700,-4,-53,-0.14,0.0,-13,1
-1877,-3,-7,390,201,408,-0.43,1.87,227,1025,74,8,-0.05,-32.0,-80,0
-1092,1,-1,50,72,73,-0.32,-1.7200000000000002,-9,121,4,-32,-0.0999999999999999,-385.0,8,1
-622,-1,-12,-186,-60,-202,0.1,-1.35,-149,-734,-81,-6,1.03,41.0,4,1
1190,3,14,23,-33,162,-0.58,-0.2599999999999999,252,305,-12,-11,0.86,1036.0,65,0
28,-4,-11,-212,-107,-248,-0.57,0.0500000000000002,-73,-432,20,30,-1.37,-147.0,34,1
504,2,2,-1,97,13,-0.92,1.8,-95,-187,37,-7,1.0,175.0,11,0
-139,11,-2,-3,-21,-62,-0.22,-1.22,-14,-64,-16,-1,1.55,-28.0,-3,1
543,3,2,73,-18,79,-0.21,0.2799999999999998,73,177,17,51,-0.74,567.0,-11,0
-1358,-3,-7,-179,-9,-336,0.51,0.0,-198,-726,3,-32,-0.38,-421.0,-48,1
-3916,0,-13,-473,-90,-845,-0.23,2.890000000000001,-638,-1520,-55,-35,-0.36,-295.0,-169,1
-1275,0,9,312,43,448,0.59,0.6700000000000002,392,1346,31,-3,-0.8999999999999999,-358.0,55,0
-196,4,3,565,57,706,0.12,-1.09,518,1470,-17,-13,-0.58,-49.0,94,0
-2479,-9,-13,-259,-154,-640,-0.78,2.88,-349,-1112,1,34,-0.71,-820.0,-230,1
-245,8,-2,39,-102,300,0.5599999999999999,-0.8100000000000003,215,178,-208,2,0.31,154.0,59,1
308,-1,0,-235,-79,-393,0.23,0.4599999999999999,-314,-637,-7,37,-0.5,-355.0,-123,1
-791,-1,-9,469,-37,352,-0.54,0.2299999999999999,374,430,26,-26,-0.28,-134.0,4,1
-1310,-5,1,-195,-11,-230,1.2,-0.8799999999999999,-216,-583,-28,11,-0.1099999999999999,-156.0,15,0
-1632,-3,-4,-70,17,-197,0.18,-0.01,-132,-388,-49,33,-1.16,35.0,-65,0
